Fecha,Precio,Volumen,Total
1/1/2022,66.18,"10,364,108"," $685,896,667,440.00 "
2/1/2022,75.21,"7,853,281"," $590,645,264,010.00 "
3/1/2022,88.15,"8,385,229"," $739,157,936,350.00 "
4/1/2022,95.72,"9,108,602"," $871,875,383,440.00 "
5/1/2022,100.28,"9,128,833"," $915,439,373,240.00 "
6/1/2022,104.69,"5,669,971"," $593,589,263,990.00 "
7/1/2022,105.76,"6,646,137"," $702,895,449,120.00 "
8/1/2022,98.62,"6,442,224"," $635,332,130,880.00 "
9/1/2022,89.55,"6,941,741"," $621,632,906,550.00 "
10/1/2022,79.49,"6,058,680"," $481,604,473,200.00 "
11/1/2022,86.53,"5,645,391"," $488,495,683,230.00 "
12/1/2022,80.55,"6,418,409"," $517,002,844,950.00 "
1/1/2023,80.26,"5,673,808"," $455,379,830,080.00 "
2/1/2023,77.05,"6,069,523"," $467,656,747,150.00 "
3/1/2023,75.67,"7,758,732"," $587,103,250,440.00 "
4/1/2023,76.78,"5,497,349"," $422,086,456,220.00 "
5/1/2023,68.09,"6,920,662"," $471,227,875,580.00 "
6/1/2023,70.64,"6,857,383"," $484,405,535,120.00 "
7/1/2023,81.8,"6,301,345"," $515,450,021,000.00 "
8/1/2023,83.63,"7,346,160"," $614,359,360,800.00 "
9/1/2023,90.79,"6,703,761"," $608,634,461,190.00 "
10/1/2023,77.6,"3,889,829"," $301,850,730,400.00 "
11/1/2023,76.29,"14,825"," $1,130,999,250.00 "
